WaterYear,Flood,Irrigation
CapTotal,550,
CapInitial,249,
TargetYield,450,
ClimateShift,0,
EndCap,550,250
Evap,8,26
Dist,0.1,0.9
PumpCoef,3,10
PumpExp,1.2,1.5
1913,72.6,233.6
1914,170.9,591.4
1915,118.4,406.1
1916,288.5,878.7
1917,169.1,499.8
1918,101.7,343.3
1919,120,326.9
1920,92.5,393.7
1921,119.7,322
1922,108.6,574.1
1923,116.6,316.6
1924,68.9,93.7
1925,85.7,312.1
1926,77.5,221.6
1927,149.5,466.5
1928,108.5,194.2
1929,71.4,215.7
1930,73.9,225.1
1931,62,114.6
1932,112.4,472.8
1933,89.4,301.1
1934,89.7,130.1
1935,78.7,342.5
1936,122.3,511.9
1937,179.5,679
1938,195.6,819.1
1939,133.9,254.2
1940,149.8,458.7
1941,161.4,784.8
1942,156.3,462.2
1943,233.9,568.6
1944,113.4,330.1
1945,128.5,537.1
1946,179.4,348.7
1947,121.9,233.6
1948,67.1,234.5
1949,57.5,214.2
1950,92.7,298.5
1951,204.6,260
1952,139.1,894.9
1953,149.8,306.6
1954,109.1,336.3
1955,92.8,238.4
1956,239.1,526.8
1957,102.2,285.1
1958,116.4,694.3
1959,106.4,139.5
1960,75.7,170.6
1961,60,105.3
1962,90.4,459.2
1963,159.3,469.3
1964,101.2,172.7
1965,140.1,434.7
1966,116.2,218.8
1967,324.7,883.6
1968,154.5,233.7
1969,254.5,1322.3
1970,174.9,316.7
1971,114.7,244.8
1972,93.8,141.2
1973,103.7,636.6
1974,150,488.2
1975,104.9,357.6
1976,80,129
1977,67.2,103.7
1978,184.1,953.9
1979,158,378.8
1980,302.7,852.4
1981,127.4,239.5
1982,144.5,743.9
1983,365,1273.9
1984,268.2,408.3
1985,145.4,381.4
1986,288.1,806.1
1987,123.3,208.8
1988,93.7,169.5
1989,108.4,230.1
1990,69.3,120.2
1991,77.9,282.8
1992,80.1,176.9
1993,158.1,562.5
1994,89.9,189.2
1995,167.9,796.1
1996,254.8448892,527.0105214
1997,499.1526342,546.1968402
1998,296.838432,1018.571657
1999,174.7853316,236.5525998
2000,114.604578,285.0282864
2001,89.6113746,232.6250718
2002,107.6418288,201.5820972
2003,186.8366412,312.729417
2004,134.319735,212.1743646
2005,218.2551426,728.4599784
2006,194.9535324,870.4693998
2007,114.4788282,125.0314758
2008,127.8530946,309.1154022
2009,117.3727962,279.3867714
2010,150.64137,539.8817886
2011,377.525016,891.3438666
2012,159.8727834,173.9550384
2013,85.8182094,105.2818668
2014,56.1774312,98.282943
2015,55.1559294,57.629583
