datetime,storage,elevation,outflow,inflow,precip,evap,tocs
1985-02-12,641.4,430.45,,,,24.0,
1985-02-13,644.5,430.78,,,,30.0,
1985-02-14,647.4,431.09,,,,30.0,
1985-02-15,,,,,,27.0,
1985-02-16,,,,,,30.0,
1985-02-17,,,,,,18.0,
1985-02-18,648.6,431.22,,,,21.0,
1985-02-19,647.0,431.05,,,,18.0,
1985-02-20,646.0,430.94,,,,27.0,
1985-02-21,644.4,430.77,,,,60.0,
1985-02-22,,,,,,45.0,
1985-02-23,,,,,,72.0,
1985-02-24,638.6,430.14,,,,24.0,
1985-02-25,636.7,429.94,,,,33.0,
1985-02-26,635.2,429.78,,,,45.0,
1985-02-27,634.4,429.69,,,,33.0,
1985-02-28,633.1,429.55,,,,36.0,
1985-03-01,,,,,,30.0,
1985-03-02,,,,,,0.0,
1985-03-03,633.9,429.63,,,,59.0,
1985-03-04,634.4,429.69,,,,45.0,
1985-03-05,635.6,429.82,,,,30.0,
1985-03-06,637.4,430.01,,,,0.0,
1985-03-07,640.7,430.37,,,,0.0,
1985-03-08,,,,,,0.0,
1985-03-09,,,,,,90.0,
1985-03-10,,,,,,0.0,
1985-03-11,651.5,431.53,,,,0.0,
1985-03-12,655.5,431.96,,,,27.0,
1985-03-13,660.1,432.45,,,,21.0,
1985-03-14,662.9,432.74,,,,30.0,
1985-03-15,,,,,,46.0,
1985-03-16,,,,,,43.0,
1985-03-17,671.7,433.68,,,,31.0,
1985-03-18,674.6,433.98,,,,0.0,
1985-03-19,678.4,434.38,,,,15.0,
1985-03-20,681.9,434.75,,,,18.0,
1985-03-21,686.1,435.19,,,,28.0,
1985-03-22,,,,,,53.0,
1985-03-23,,,,,,40.0,
1985-03-24,696.4,436.26,,,,47.0,
1985-03-25,700.1,436.64,,,,0.0,
1985-03-26,704.8,437.13,,,,34.0,
1985-03-27,713.5,438.02,,,,0.0,
1985-03-28,722.5,438.94,,,,25.0,
1985-03-29,,,,,,19.0,
1985-03-30,,,,,,48.0,
1985-03-31,738.6,440.58,,,,71.0,
1985-04-01,743.3,441.05,,,,48.0,
1985-04-02,750.1,441.73,,,,48.0,
1985-04-03,757.9,442.51,,,,68.0,
1985-04-04,767.7,443.49,,,,69.0,
1985-04-05,,,,,,98.0,
1985-04-06,,,,,,82.0,
1985-04-07,794.3,446.1,,,,50.0,
1985-04-08,801.8,446.83,,,,70.0,
1985-04-09,810.7,447.7,,,,67.0,
1985-04-10,819.7,448.56,,,,74.0,
1985-04-11,827.9,449.35,,,,61.0,
1985-04-12,,,,,,51.0,
1985-04-13,,,,,,61.0,
1985-04-14,846.6,451.13,,,,89.0,
1985-04-15,854.7,451.9,,,,123.0,
1985-04-16,861.3,452.52,,,,79.0,
1985-04-17,866.7,453.03,,,,35.0,
1985-04-18,871.0,453.43,,,,45.0,
1985-04-19,,,,,,52.0,
1985-04-20,,,,,,69.0,
1985-04-21,,,,,,52.0,
1985-04-22,876.2,453.91,,,,21.0,
1985-04-23,877.1,454.0,,,,80.0,
1985-04-24,879.7,454.24,,,,87.0,
1985-04-25,882.5,454.5,,,,104.0,
1985-04-26,,,,,,105.0,
1985-04-27,,,,,,171.0,
1985-04-28,889.4,455.14,,,,105.0,
1985-04-29,890.7,455.26,,,,87.0,
1985-04-30,891.7,455.35,,,,105.0,
1985-05-01,891.7,455.35,,,,87.0,
1985-05-02,892.3,455.41,,,,105.0,
1985-05-03,,,,,,105.0,
1985-05-04,,,,,,105.0,
1985-05-05,893.3,455.5,,,,105.0,
1985-05-06,892.9,455.46,,,,105.0,
1985-05-07,893.0,455.47,,,,88.0,
1985-05-08,891.6,455.34,,,,87.0,
1985-05-09,888.7,455.07,,,,105.0,
1985-05-10,,,,,,105.0,
1985-05-11,,,,,,66.0,
1985-05-12,877.9,454.07,,,,87.0,
1985-05-13,875.2,453.82,,,,97.0,
1985-05-14,873.6,453.67,,,,104.0,
1985-05-15,872.8,453.6,,,,104.0,
1985-05-16,873.9,453.7,,,,104.0,
1985-05-17,,,,,,94.0,
1985-05-18,,,,,,83.0,
1985-05-19,879.5,454.22,,,,83.0,
1985-05-20,880.6,454.32,,,,104.0,
1985-05-21,881.2,454.38,,,,97.0,
1985-05-22,883.4,454.58,,,,111.0,
1985-05-23,885.0,454.73,,,,105.0,
1985-05-24,,,,,,105.0,
1985-05-25,,,,,,105.0,
1985-05-26,,,,,,105.0,
1985-05-27,884.0,454.64,,,,105.0,
1985-05-28,883.4,454.58,,,,77.0,
1985-05-29,883.0,454.55,,,,52.0,
1985-05-30,882.3,454.48,,,,104.0,
1985-05-31,,,,,,97.0,
1985-06-01,,,,,,87.0,
1985-06-02,875.3,453.83,,,,0.0,
1985-06-03,872.3,453.55,,,,69.0,
1985-06-04,870.1,453.34,,,,90.0,
1985-06-05,867.7,453.12,,,,97.0,
1985-06-06,,,,,,110.0,
1985-06-07,,,,,,110.0,
1985-06-08,,,,,,124.0,
1985-06-09,861.3,452.52,,,,117.0,
1985-06-10,860.3,452.42,,,,131.0,
1985-06-11,859.2,452.32,,,,134.0,
1985-06-12,856.7,452.09,,,,141.0,
1985-06-13,853.7,451.8,,,,137.0,
1985-06-14,,,,,,130.0,
1985-06-15,,,,,,126.0,
1985-06-16,843.5,450.84,,,,126.0,
1985-06-17,839.1,450.42,,,,153.0,
1985-06-18,833.1,449.85,,,,102.0,
1985-06-19,826.9,449.26,,,,152.0,
1985-06-20,820.9,448.68,,,,101.0,
1985-06-21,,,,,,101.0,
1985-06-22,,,,,,127.0,
1985-06-23,805.5,447.19,,,,100.0,
1985-06-24,799.6,446.62,,,,150.0,
1985-06-25,795.3,446.2,,,,99.0,
1985-06-26,791.6,445.84,,,,129.0,
1985-06-27,788.7,445.56,,,,116.0,
1985-06-28,,,,,,132.0,
1985-06-29,,,,,,148.0,
1985-06-30,776.5,444.36,,,,148.0,
1985-07-01,770.7,443.78,,,,147.0,
1985-07-02,765.0,443.22,,,,121.0,
1985-07-03,,,,,,130.0,
1985-07-04,754.8,442.2,,,,129.0,
1985-07-05,,,,,,123.0,
1985-07-06,,,,,,129.0,
1985-07-07,738.8,440.6,,,,122.0,
1985-07-08,734.7,440.18,,,,106.0,
1985-07-09,731.6,439.87,,,,124.0,
1985-07-10,729.6,439.66,,,,127.0,
1985-07-11,726.9,439.39,,,,95.0,
1985-07-12,,,,,,54.0,
1985-07-13,,,,,,101.0,
1985-07-14,717.9,438.47,,,,107.0,
1985-07-15,714.1,438.08,,,,136.0,
1985-07-16,710.0,437.66,,,,123.0,
1985-07-17,706.4,437.29,,,,125.0,
